first_name,last_name,email,password,current_board_member,contact_phone_number,site_admin
Celina,Castor,Celina.Castor@example.com,123123,FALSE,111-222-3333,FALSE
Bonita,Belizaire,Bonita.Belizaire@example.com,123123,FALSE,111-222-3334,FALSE
Aleshia,Amann,Aleshia.Amann@example.com,123123,TRUE,111-222-3335,TRUE
Dreama,Deboer,Dreama.Deboer@example.com,123123,FALSE,111-222-3336,FALSE
Therese,Traynor,Therese.Traynor@example.com,123123,FALSE,111-222-3337,FALSE
Hilario,Hilchey,Hilario.Hilchey@example.com,123123,FALSE,111-222-3338,FALSE
Nena,Nakagawa,Nena.Nakagawa@example.com,123123,FALSE,111-222-3339,FALSE
Dede,Deardorff,Dede.Deardorff@example.com,123123,FALSE,111-222-3340,FALSE
Evie,Emert,Evie.Emert@example.com,123123,TRUE,111-222-3341,FALSE
Erin,Elsass,Erin.Elsass@example.com,123123,FALSE,111-222-3342,FALSE
Andreas,Adger,Andreas.Adger@example.com,123123,FALSE,111-222-3343,FALSE
Tempie,Tagg,Tempie.Tagg@example.com,123123,FALSE,111-222-3344,FALSE
Darryl,Delange,Darryl.Delange@example.com,123123,FALSE,111-222-3345,FALSE
Manuel,Motsinger,Manuel.Motsinger@example.com,123123,FALSE,111-222-3346,FALSE
Sherman,Scull,Sherman.Scull@example.com,123123,FALSE,111-222-3347,FALSE
Regan,Rosel,Regan.Rosel@example.com,123123,TRUE,111-222-3348,FALSE
Keva,Kwok,Keva.Kwok@example.com,123123,FALSE,111-222-3349,FALSE
Meghan,Minns,Meghan.Minns@example.com,123123,FALSE,111-222-3350,FALSE
Versie,Vine,Versie.Vine@example.com,123123,FALSE,111-222-3351,FALSE
Ute,Utt,Ute.Utt@example.com,123123,FALSE,111-222-3352,FALSE
Stuart,Sudler,Stuart.Sudler@example.com,123123,FALSE,111-222-3353,FALSE
Azalee,Amezquita,Azalee.Amezquita@example.com,123123,FALSE,111-222-3354,FALSE
Kathie,Kasel,Kathie.Kasel@example.com,123123,FALSE,111-222-3355,FALSE
Jacqui,Jacobo,Jacqui.Jacobo@example.com,123123,FALSE,111-222-3356,FALSE
Earleen,Ephraim,Earleen.Ephraim@example.com,123123,FALSE,111-222-3357,FALSE
Mariella,Musil,Mariella.Musil@example.com,123123,TRUE,111-222-3358,FALSE
Tyrell,Tutt,Tyrell.Tutt@example.com,123123,FALSE,111-222-3359,FALSE
Eugena,Epstein,Eugena.Epstein@example.com,123123,FALSE,111-222-3360,FALSE
Alyce,Amaro,Alyce.Amaro@example.com,123123,FALSE,111-222-3361,FALSE
Dacia,Duty,Dacia.Duty@example.com,123123,FALSE,111-222-3362,FALSE
